Time,bit-x,bitbay,bitfinex,bitstamp,btce,campbx,cex.io,coinbase,exmo,gemini,hitbtc,itbit,kraken,okcoin,therocktrading
2017-03-01 00:00:00 UTC,5.01582798459865,10.8639618930446,3.48867322637409,3.55872333355141,3.60936408368424,55.4194885979432,3.43254989938135,3.65094952490443,3.56528503080051,3.1875779372262,7.04861837256465,3.00904762069327,4.44690244683693,3.08521986091498,4.65099784712515
2017-04-01 00:00:00 UTC,4.34233451000186,6.93081766496013,2.1125161489711,1.97924769991173,2.23037931114823,60.8789025713892,1.61314283965605,1.89899043143679,2.29008126400704,1.38388495348374,7.04648285714795,1.45362914399803,2.33990615316391,2.17532755378926,4.4862582667869
2017-05-01 00:00:00 UTC,11.7024409746527,20.3666895343682,8.27888679900905,8.93152108770587,8.59479021359271,95.6652099841548,8.09781108795639,8.05177184379625,7.92679188837638,7.26655168202559,11.5974046274422,7.84081603786601,8.86579374118227,9.23467737805532,10.8451395826557
2017-06-01 00:00:00 UTC,16.7216409952205,23.3590536781447,10.3159905693004,9.70679495435978,8.56337231642944,292.943732843835,8.58007226941373,9.53218651385878,9.47268701379384,8.55375469183149,12.2521778383382,6.52689322794587,9.60341148277002,11.0961643302267,19.6893008646042
2017-07-01 00:00:00 UTC,15.0226478858812,282.433655377317,9.52488711001985,9.52170735430178,8.16511431699651,176.776695296637,8.06623245924862,8.43589386327907,8.44236295214868,8.6196385628308,9.51746262788059,9.65183586816962,8.74684497831558,10.9253492262415,11.656943082586
2017-08-01 00:00:00 UTC,23.2003151116266,36.3029107460594,13.0103934634415,13.1392176939451,,,11.181457640416,11.690049865525,12.3020475529219,11.9316548766242,13.8255994257021,11.2567506040189,12.4224375747871,14.2086725492382,14.4032937725548
2017-09-01 00:00:00 UTC,27.4663553821892,39.9857453577005,17.1178404886085,16.4405426226714,,1129.29357923963,15.2074499506123,15.6765153758183,17.1209433655817,16.1072373929691,15.8604464899845,15.2682031551789,15.4174123248357,20.512560213386,25.1251999788666
2017-10-01 00:00:00 UTC,29.4605395642159,,16.024110685066,15.6032474308281,,320.789518729383,12.9427635518601,14.0287699586647,14.2977248867611,14.1111589838604,14.5749120210436,13.5903427863872,13.994820201906,12.9063612690313,15.9493202222355
2017-11-01 00:00:00 UTC,61.184479290541,,32.7022568592817,32.1132758744757,,244.764965444583,29.7976391025792,30.3495066646791,29.1166776340787,31.2946702211062,31.1917047064785,30.0626094513192,29.6530617029086,,39.5037485163103
2017-12-01 00:00:00 UTC,162.539870813472,,105.112073618557,98.2143796518171,,1600.83183665696,92.9279071988181,95.5425975475839,89.5837978736222,96.8492972744736,99.0372291752644,87.2932739645266,93.7724408363,,127.397805151018
2018-01-01 00:00:00 UTC,144.812115735248,,74.9394531768123,73.2616552182562,,1075.09689485801,69.7274831418172,67.9813827866189,71.6750367477427,70.8607138600525,73.1556085192245,67.8478333553898,72.5335312729835,,6.0731001070808
2018-02-01 00:00:00 UTC,100.044162392546,,51.6986676638694,51.6832261324036,,,50.8554618131418,49.7661968302054,48.1225466881069,50.6246275350652,48.4882628905542,48.641956022351,52.2931231407825,,
2018-03-01 00:00:00 UTC,89.4689565141821,,37.4169262193341,36.5012535363157,,,36.7262071245666,35.9202373575464,35.8559925885516,36.0530592097995,34.0113443768888,35.3939399564474,38.0286914903192,,
2018-04-01 00:00:00 UTC,70.7088669885568,,22.5307229167753,21.5519995178258,,,21.1999913320514,20.7086211569154,22.7811334972408,20.9050103850855,20.7206795368917,20.1153775915944,22.3162549906308,,
2018-05-01 00:00:00 UTC,92.0967335432952,,19.87259045031,19.331806866228,,,17.4702760246798,18.351316103245,18.8048183982783,18.6899788140578,17.8345072800399,18.3355760407538,20.4420913118364,,
2018-06-01 00:00:00 UTC,46.4806378060209,,13.6545523937962,13.0953458768818,,,12.9670500236993,12.5355012314558,13.407395923637,12.7678025046931,11.4717148043944,13.019072258748,13.7792712199967,,
2018-07-01 00:00:00 UTC,62.0118293764997,,13.7828117113031,13.4520049912253,,,13.2536335154318,12.8720365969512,14.7838142809216,13.1213464588123,12.8056729694019,12.9579263068052,13.710389563477,,
2018-08-01 00:00:00 UTC,57.3344702720794,,15.4429100338102,14.9195019967711,,,13.9851785701357,14.4571443843223,15.8103667535543,14.6204513559391,14.7928430247474,15.0414345985429,15.6707585525306,,
2018-09-01 00:00:00 UTC,43.3715671688339,,11.2321097931685,10.6140509233794,,,10.1383610697272,10.0201967841154,12.6555790164841,10.0729832396491,,10.3651657069881,10.9654968786727,,
2018-10-01 00:00:00 UTC,6.68514512273244,,6.92794479270412,5.71778958753822,,,5.75037847433891,4.84045788066304,9.63055792633221,5.25154953216626,,5.09834538707959,5.41017854069637,,
2018-11-01 00:00:00 UTC,12.7293185842397,,13.7847137143254,13.3781544466408,,,12.4922245001496,12.7013739869505,15.3259041476349,12.9509487653526,,12.6598964157051,13.3138713501675,,
2018-12-01 00:00:00 UTC,11.8572238635251,,13.0513701072586,11.8483680658237,,,11.1376953393809,11.3512496694441,12.7143097996431,11.5039712355444,,12.357203318907,12.2304412572571,,
2019-01-01 00:00:00 UTC,7.61733463584236,,5.88331267201574,5.60054797497034,,,5.11072172879881,4.88081530317704,7.59290592534538,5.03632347219513,,5.09280089042578,5.61580471344766,,
2019-02-01 00:00:00 UTC,6.34968534027804,,5.20416271066205,4.80453345037847,,,4.5865530220694,4.36480930449367,7.41256206422171,4.43870066400345,,4.61209909897936,4.72003263373397,,
